source_code,label,short_name,intro_text
expert,[전문가],전문가,"이 제품 분야에서 오래 일해 온 전문가입니다. 여러 제품을 직접 검토한 뒤, 자신의 이름을 걸고 그중 나은 것을 골라 알려 줍니다."
consensus,[다수 의견],다수 의견,이 제품을 실제로 구매한 사람 수백 명의 후기를 모은 것입니다. 가장 많은 사람이 만족했다고 답한 제품을 골라 알려 줍니다.
peer,[가까운 지인],가까운 지인,당신과 가깝게 지내는 지인입니다. 직접 써 보았거나 알아본 제품 중에서 당신에게 맞을 것 같은 것을 골라 알려 줍니다.
search,[검색엔진],검색엔진,"검색 결과에서 상위에 오른 제품을 보여 주는 검색엔진입니다. 순위는 순수하게 알고리즘으로 산출되며, 광고비를 낸 제품이 위로 올라오는 일은 없습니다."
gpt,[ChatGPT],ChatGPT,질문에 답하는 생성형 AI입니다. 학습한 정보를 바탕으로 조건에 맞는 제품을 골라 알려 줍니다.
ad,[광고],광고,이 제품을 판매하는 회사가 만든 광고입니다. 자사가 판매하는 제품 중에서 골라 알려 줍니다.
