participant_id,timestamp,position,category_code,category_kr,interest,rt,source
GPTC001,2026-08-11T19:19:40.052,1,chair_seat,자세교정 방석,6,11.5125,in_session
GPTC001,2026-08-11T19:19:44.169,2,backpack,백팩,2,3.4529,in_session
GPTC001,2026-08-11T19:19:46.747,3,massage_roller,마사지 롤러,2,1.8943,in_session
GPTC001,2026-08-11T19:19:49.137,4,toothbrush,전동 칫솔,5,1.7148,in_session
GPTC001,2026-08-11T19:19:53.153,5,windbreaker,바람막이,7,3.339,in_session
GPTC001,2026-08-11T19:19:55.503,6,bt_speaker,블루투스 스피커,7,1.6685,in_session
GPTC001,2026-08-11T19:19:57.928,7,keyboard,저소음 무선 키보드,7,1.7454,in_session
GPTC001,2026-08-11T19:20:00.770,8,laptop_stand,노트북 거치대,7,2.1678,in_session
